t (s),V (mV)
0,16.0072
1.046,15.9682
2.047,15.9315
3.046,15.894
4.046,15.8569
5.046,15.819
6.046,15.7809
7.046,15.7422
8.046,15.7036
9.046,15.6654
10.046,15.6265
11.047,15.5872
12.046,15.549
13.046,15.5108
14.046,15.4724
15.046,15.4337
16.046,15.3958
17.046,15.3572
18.046,15.319
19.047,15.2812
20.047,15.2434
21.046,15.2052
22.046,15.167
23.046,15.1306
24.046,15.0925
25.046,15.055
26.046,15.0184
27.046,14.9807
28.046,14.9435
29.046,14.9078
30.046,14.8704
31.046,14.8342
32.046,14.7971
33.046,14.761
34.046,14.7238
35.046,14.6877
36.046,14.6502
37.046,14.6148
38.046,14.5795
39.047,14.5425
40.046,14.5077
41.046,14.4711
42.046,14.4359
43.046,14.3997
44.046,14.3643
45.046,14.3284
46.046,14.2931
47.046,14.2575
48.046,14.2231
49.046,14.188
50.046,14.1526
51.046,14.1186
52.046,14.0834
53.046,14.0491
54.046,14.0142
55.046,13.98
56.046,13.9461
57.046,13.9114
58.046,13.8767
59.046,13.8428
60.046,13.8084
61.046,13.7748
62.046,13.7403
63.046,13.7073
64.046,13.6741
65.046,13.6401
66.046,13.6069
67.046,13.5738
68.046,13.5406
69.046,13.508
70.046,13.4749
71.046,13.4425
72.046,13.41
73.046,13.3767
74.046,13.3443
75.046,13.3123
76.046,13.2799
77.046,13.247
78.046,13.2158
79.046,13.1835
80.046,13.1513
81.046,13.119
82.046,13.0877
83.047,13.056
84.046,13.0239
85.047,12.9923
86.047,12.9608
87.046,12.9287
88.046,12.8984
89.046,12.867
90.046,12.8344
91.046,12.8045
92.047,12.7735
93.046,12.7422
94.046,12.7121
95.046,12.6813
96.046,12.6504
97.046,12.6193
98.047,12.5899
99.046,12.5592
100.046,12.5283
101.046,12.4993
102.046,12.4688
103.046,12.4375
104.046,12.4092
105.046,12.3782
106.046,12.3487
107.046,12.3195
108.046,12.2884
109.046,12.2584
110.047,12.2289
111.046,12.1996
112.046,12.1698
113.046,12.1407
114.046,12.1108
115.046,12.0813
116.046,12.0522
117.046,12.0234
118.046,11.9944
119.046,11.9652
120.046,11.9367
121.046,11.9077
122.046,11.8797
123.046,11.8505
124.046,11.8222
125.046,11.7937
126.046,11.7654
127.046,11.7372
128.047,11.7081
129.047,11.6805
130.046,11.6527
131.046,11.6244
132.046,11.5963
133.046,11.5691
134.047,11.5406
135.046,11.5134
136.046,11.4858
137.046,11.4578
138.047,11.4305
139.046,11.4025
140.046,11.3768
141.046,11.3493
142.046,11.3229
143.046,11.2961
144.046,11.2688
145.046,11.2426
146.046,11.2151
147.047,11.1895
148.046,11.1629
149.046,11.1362
150.046,11.1098
151.046,11.0833
152.046,11.0569
153.046,11.0309
154.047,11.0052
155.046,10.9784
156.046,10.9525
157.046,10.926
158.046,10.9004
159.046,10.8746
160.046,10.8485
161.046,10.823
162.046,10.7977
163.046,10.7719
164.046,10.7464
165.046,10.7209
166.046,10.6961
167.046,10.6712
168.046,10.6464
169.046,10.619
170.045,10.5958
171.045,10.5705
172.045,10.5461
173.045,10.5209
174.045,10.4959
175.045,10.4713
176.045,10.4469
177.045,10.4229
178.045,10.398
179.045,10.3732
180.045,10.3479
181.045,10.3242
182.045,10.3001
183.045,10.2754
184.045,10.2522
185.045,10.2282
186.045,10.2041
187.045,10.1795
188.046,10.1562
189.045,10.1322
190.045,10.1091
191.045,10.0851
192.045,10.0615
193.045,10.038
194.045,10.0144
195.046,9.9906
196.046,9.9672
197.047,9.9441
198.046,9.9207
199.046,9.8978
200.046,9.8747
201.046,9.8517
202.046,9.8287
203.046,9.8059
204.046,9.7828
205.046,9.7605
206.046,9.7373
207.046,9.7143
208.046,9.6919
209.046,9.6691
210.046,9.6467
211.046,9.6243
212.046,9.6017
213.046,9.5799
214.046,9.5576
215.046,9.5351
216.046,9.5142
217.046,9.491
218.046,9.4696
219.047,9.4472
220.046,9.4255
221.046,9.4033
222.046,9.3812
223.046,9.3598
224.046,9.3388
225.046,9.3169
226.046,9.2949
